Counter Presentation Path,Proposed Alias Naming
[Huawei].[Huawei CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Denominator1],Call Setup Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Numerator1],Call Setup Success 
[Huawei].[Huawei CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Numerator2],Call Setup Success 
[Huawei].[Huawei CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Denominator2],Call Setup Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[SDCCH Drop Rate_Numerator],SDCCH Drop 
[Huawei].[Huawei CS 2G CELL Hourly].[SDCCH Drop Rate_Denominator],SDCCH Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[TCH Blocking Rate (Congestion)_Numerator],TCH Blocking 
[Huawei].[Huawei CS 2G CELL Hourly].[TCH Blocking Rate (Congestion)_Denominator],TCH Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[SDCCH Blocking Rate (Congestion)_Denominator],SDCCH Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[SDCCH Blocking Rate (Congestion)_Numerator],SDCCH Blocking 
[Huawei].[Huawei CS 2G CELL Hourly].[Outgoing HO Success Rate_Numerator],Outgoing HO Success 
[Huawei].[Huawei CS 2G CELL Hourly].[Outgoing HO Success Rate_Denominator],Outgoing HO Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[Incoming HO Success Rate_Denominator],Incoming HO Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[Incoming HO Success Rate_Numerator],Incoming HO Success 
[Huawei].[Huawei CS 2G CELL Hourly].[TCH Availability_Numerator],
[Huawei].[Huawei CS 2G CELL Hourly].[TCH Availability_Denominator],
[Huawei].[Huawei CS 2G CELL Hourly].[Call Drop Rate_Denominator],Call Attempt
[Huawei].[Huawei CS 2G CELL Hourly].[Call Drop Rate_Numerator],Call Drop 
[Huawei].[Huawei CS 2G CELL Hourly].[Handover Success Rate_Numerator],Handover Success 
[Huawei].[Huawei CS 2G CELL Hourly].[Handover Success Rate_Denominator],Handover Attempt
[Huawei].[Huawei PS 2G CELL Hourly].[PDCH Congestion Rate_Denominator],PDCH Attempt
[Huawei].[Huawei PS 2G CELL Hourly].[PDCH Congestion Rate_Numerator],PDCH Congestion 
[Huawei].[Huawei PS 2G CELL Hourly].[TBF Establishment Success Rate DL Num],
[Huawei].[Huawei PS 2G CELL Hourly].[TBF Establishment Success Rate DL Den],
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[Cell Availability Den],
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[Cell Availability Num],
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[CS RAB Success Rate],
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[CS RRC Success Rate],
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[CS RAB Success Rate_Denominator],CS RAB Attempt
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[CS RAB Success Rate_Numerator],CS RAB Success 
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[CS RRC Success Rate_Denominator],CS RRC Attempt
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[CS RRC Success Rate_Numerator],CS RRC Success 
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[RAB Congestion Rate CS_Denominator],RAB Attempt
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[RAB Congestion Rate CS_Numerator],RAB Congestion 
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[RRC Setup Success Rate_Denominator],RRC Setup Attempt
[Huawei].[Huawei CS 3G CELL Availability and Usage Hourly].[RRC Setup Success Rate_Numerator],RRC Setup Success 
[Huawei].[Huawei CS 3G CELL Retainability and Mobility Hourly].[CS Call Drop Rate_Numerator],CS Call Drop 
[Huawei].[Huawei CS 3G CELL Retainability and Mobility Hourly].[CS Call Drop Rate_Denominator],CS Call Attempt
[Huawei].[Huawei CS 3G CELL Retainability and Mobility Hourly].[Soft HO Success Rate_Numerator],Soft HO Success 
[Huawei].[Huawei CS 3G CELL Retainability and Mobility Hourly].[Soft HO Success Rate_Denominator],Soft HO Attempt
[Huawei].[Huawei CS 3G CELL Retainability and Mobility Hourly].[Inter-RAT HO Success Rate_Denominator],Inter-RAT HO Attempt
